time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-02-23T11:07:06.430Z,37.2035,71.8089,169.91,4,mb,,84,0.346,0.27,us,us2000jlzx,2019-02-23T11:29:34.040Z,"6km SSW of Roshtqal'a, Tajikistan",earthquake,6.4,7.4,0.258,4,reviewed,us,us
2019-02-23T10:10:47.760Z,18.7108,-67.6133,121,3,md,9,194,0.7514,0.88,pr,pr2019054005,2019-02-23T13:41:07.421Z,"56km NW of Rincon, Puerto Rico",earthquake,9.95,6.26,0.28,8,reviewed,pr,pr
2019-02-23T09:55:34.750Z,-23.4151,-69.4376,103.85,4.1,mb,,130,1.246,1.05,us,us2000jlz8,2019-02-23T10:17:50.040Z,"101km ENE of Antofagasta, Chile",earthquake,4.8,11.2,0.262,4,reviewed,us,us
2019-02-23T09:39:28.380Z,38.8258324,-122.7653351,1.73,2.82,md,33,59,0.005851,0.04,nc,nc73144826,2019-02-24T22:28:55.314Z,"4km W of Cobb, CA",earthquake,0.15,0.27,0.18,28,automatic,nc,nc
2019-02-23T09:31:10.540Z,40.4691667,-111.9481667,9.02,3.09,ml,56,25,0.01489,0.2,uu,uu60314012,2019-02-25T15:56:06.664Z,"2km SSW of Bluffdale, Utah",earthquake,0.31,0.43,0.232,18,reviewed,uu,uu
2019-02-23T08:46:39.760Z,18.3311,-66.2455,112,2.94,md,15,178,0.1634,0.13,pr,pr2019054004,2019-02-24T06:58:21.040Z,"0km SE of Toa Alta, Puerto Rico",earthquake,1.23,0.57,0.3,12,reviewed,pr,pr
2019-02-23T08:41:51.400Z,33.0415,-116.432,5.53,2.71,ml,76,31,0.1445,0.23,ci,ci38470576,2019-02-25T09:23:07.116Z,"16km ESE of Julian, CA",earthquake,0.21,1.28,0.236,25,automatic,ci,ci
2019-02-23T08:14:18.250Z,18.1075,-67.4211,16,2.6,md,6,289,0.3275,0.29,pr,pr2019054003,2019-02-23T13:40:14.118Z,"25km W of Puerto Real, Puerto Rico",earthquake,1.69,1.33,0.14,3,reviewed,pr,pr
2019-02-23T07:59:39.889Z,64.3715,-148.0924,11.8,2.8,ml,,,,0.63,ak,ak0192hfji7x,2019-02-23T08:12:27.583Z,"53km S of Ester, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-02-23T07:10:21.221Z,60.0646,-153.0362,122.2,3.3,ml,,,,0.58,ak,ak0192hf8yrq,2019-02-23T21:24:25.396Z,"49km SSW of Redoubt Volcano, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-02-23T06:48:59.380Z,37.0405,141.902,42.77,4.4,mwr,,131,1.211,0.84,us,us2000jlxh,2019-02-23T07:09:54.040Z,"90km E of Iwaki, Japan",earthquake,8.2,6.4,0.065,23,reviewed,us,us
2019-02-23T05:30:51.840Z,32.7024,129.9687,10,4.6,mb,,229,0.872,0.98,us,us2000jlx6,2019-02-24T13:20:53.226Z,"10km ESE of Nagasaki-shi, Japan",earthquake,7.2,1.9,0.119,21,reviewed,us,us
2019-02-23T05:04:03.440Z,19.4428,-68.2283,72,3.23,md,5,247,1.706,0.28,pr,pr2019054002,2019-02-23T08:07:01.040Z,"35km N of Punta Cana, Dominican Republic",earthquake,6.2,12.1,0.19,3,reviewed,pr,pr
2019-02-23T04:45:10.630Z,56.3734,-148.5241,12.2,4.4,mb,,,,1.17,us,us2000jlx1,2019-02-23T22:21:16.040Z,"283km ESE of Kodiak, Alaska",earthquake,5.7,6.3,0.203,7,reviewed,ak,us
2019-02-23T04:18:23.968Z,65.3952,-153.3594,13.1,3.4,ml,,,,0.76,ak,ak0192hdidzg,2019-02-23T17:06:36.972Z,"61km WNW of Tanana, Alaska",earthquake,,0.5,,,reviewed,ak,ak
2019-02-23T04:14:43.160Z,14.8936,120.1917,71.86,4.9,mb,,110,7.926,0.8,us,us2000jlwv,2019-02-25T02:48:03.971Z,"4km WNW of Subic, Philippines",earthquake,11,7.3,0.068,67,reviewed,us,us
2019-02-23T03:13:16.210Z,19.2325,-66.5501,26,2.98,md,15,302,0.7557,0.31,pr,pr2019054001,2019-02-23T22:14:21.040Z,"77km N of Arecibo, Puerto Rico",earthquake,1.29,16.68,0.37,13,reviewed,pr,pr
2019-02-23T03:13:04.383Z,66.3298,-142.2102,1.6,2.8,ml,,,,0.83,ak,ak0192hcvu5v,2019-02-23T03:27:39.040Z,"100km NE of Circle, Alaska",earthquake,,1.8,,,automatic,ak,ak
2019-02-23T02:51:42.350Z,50.8227,-172.5188,10,4.1,mb,,210,2.555,0.74,us,us2000jlwg,2019-02-23T03:50:19.040Z,"192km SE of Atka, Alaska",earthquake,6.7,2,0.069,58,reviewed,us,us
2019-02-23T02:18:04.470Z,-6.8493,116.4808,527.88,4.1,mb,,56,2.814,1.11,us,us2000jlw3,2019-02-23T04:10:32.040Z,"152km N of Anyar, Indonesia",earthquake,14.1,8.3,0.112,23,reviewed,us,us
2019-02-23T02:06:26.820Z,34.598,23.9309,35,4.2,mb,,218,1.046,0.78,us,us2000jlvn,2019-02-23T02:59:16.040Z,"74km SSE of Palaiochora, Greece",earthquake,4,2,0.175,9,reviewed,us,us
2019-02-23T01:21:16.160Z,18.615,-67.3595,65,2.66,md,7,309,0.6579,0.34,pr,pr2019054000,2019-02-23T22:11:41.040Z,"32km NW of Aguadilla, Puerto Rico",earthquake,3.87,5.27,0.3,7,reviewed,pr,pr
2019-02-22T23:37:17.130Z,54.268,165.0427,10,4.4,mb,,115,4.003,0.67,us,us2000jlut,2019-02-23T00:23:56.040Z,"119km SSW of Nikol'skoye, Russia",earthquake,8.3,1.9,0.058,86,reviewed,us,us
2019-02-22T23:35:42.536Z,61.4835,-150.0441,19.3,2.9,ml,,,,0.87,ak,ak0192g1dyhe,2019-02-23T21:19:14.904Z,"6km SW of Big Lake, Alaska",earthquake,,0.5,,,automatic,ak,ak
2019-02-22T21:31:14.000Z,17.9801,-65.3106,20,2.74,md,12,335,0.5621,0.35,pr,pr2019053004,2019-02-23T04:53:24.040Z,"43km SE of Esperanza, Puerto Rico",earthquake,3.87,26.46,0.6,9,reviewed,pr,pr
2019-02-22T21:25:24.800Z,18.7913,-67.4173,10,2.82,md,8,213,0.4115,0.27,pr,pr2019053003,2019-02-23T04:57:22.040Z,"57km NW of San Antonio, Puerto Rico",earthquake,1.11,0.7,0.15,5,reviewed,pr,pr
2019-02-22T21:15:58.190Z,-17.8392,-13.5222,10,5.5,mww,,39,7.675,0.78,us,us2000jlsv,2019-02-22T23:38:23.858Z,"Southern Mid-Atlantic Ridge",earthquake,7.3,1.4,0.103,9,reviewed,us,us
2019-02-22T20:08:08.450Z,41.7161667,-109.7291667,-3.13,2.75,ml,15,112,0.09516,0.2,uu,uu60313977,2019-02-22T20:44:58.510Z,"30km NW of Green River, Wyoming",earthquake,0.56,1.13,0.266,11,reviewed,uu,uu
2019-02-22T20:00:28.040Z,41.6956667,-109.7438333,-3.15,2.87,ml,18,105,0.09258,0.16,uu,uu60313972,2019-02-23T04:06:22.725Z,"29km NW of Green River, Wyoming",earthquake,0.69,1.01,0.194,9,reviewed,uu,uu
2019-02-22T19:59:07.890Z,41.7283333,-109.7275,-1.47,2.61,ml,12,116,0.09404,0.26,uu,uu60313967,2019-02-22T21:54:48.070Z,"31km NW of Green River, Wyoming",earthquake,0.92,1.44,0.331,6,reviewed,uu,uu
2019-02-22T19:53:47.810Z,41.687,-109.754,-3.34,3.01,ml,10,101,0.0908,0.17,uu,uu60313962,2019-02-22T22:53:48.650Z,"29km NW of Green River, Wyoming",earthquake,0.76,1.33,0.219,16,reviewed,uu,uu
2019-02-22T19:04:50.950Z,44.9888333333333,-123.8375,43.99,3,ml,18,135,,0.2,uw,uw61512381,2019-02-23T23:44:27.101Z,"4km SE of Rose Lodge, Oregon",earthquake,0.56,0.91,0.131444964751404,8,reviewed,uw,uw
2019-02-22T18:13:00.820Z,-20.8567,-70.7116,18.68,4.4,mb,,163,0.575,0.86,us,us2000jlnk,2019-02-23T15:54:27.613Z,"92km SW of Iquique, Chile",earthquake,5,6.2,0.18,9,reviewed,us,us
2019-02-22T18:11:09.200Z,18.2498,-67.1811,116,2.85,md,6,272,0.2537,0.35,pr,pr2019053002,2019-02-23T15:20:40.040Z,"3km SW of La Playa, Puerto Rico",earthquake,4.58,2.15,0.18,6,reviewed,pr,pr
2019-02-22T17:49:40.270Z,57.9869,-156.2683,140.2,2.5,ml,,,,0.81,ak,ak0192fxwcn8,2019-02-22T18:00:31.442Z,"81km SSE of King Salmon, Alaska",earthquake,,0.5,,,automatic,ak,ak
